"aid","author_last_name","author_fore_name"
937,"Kobata","A"
938,"Hersh","L B"
939,"Jorns","M S"
940,"Megyesi","K"
941,"Kahn","C R"
942,"Roth","J"
943,"Neville","D M"
944,"Nissley","S P"
945,"Humbel","R E"
946,"Froesch","E R"
947,"Noce","P S"
948,"Utter","M F"
949,"Bonaventura","C"
950,"Sullivan","B"
951,"Godette","G"
952,"Derksen","A"
953,"Cohen","P"
954,"Djavadi-Ohaniance","L"
955,"Hatefi","H"
956,"Lesca","P"
957,"Watanabe","T"
958,"Flavin","M"
959,"Yu","R K"
960,"Lee","S H"
961,"Seber","J F"
962,"Toomey","T P"
963,"Powell","J T"
964,"Brew","K"
965,"Awad","W M"
966,"Regitz","G"
967,"Ohad","I"
968,"Chiang","Y L"
969,"Kaminsky","L S"
970,"King","T E"
971,"Thompson","G A"
972,"Carpenter","F H"
973,"Krueger","J M"
974,"Cagan","R H"
975,"Moll","J W"
976,"Dziatkowiak","A J"
977,"Edelman","M"
978,"Iljin","W"
979,"Ratajczyk-Pakalska","E"
980,"Stengert","K"
981,"Mills","N L"
982,"Ochsner","J L"
983,"Leighton","F"
984,"Coloma","L"
985,"Koenig","C"
986,"Briggs","R T"
987,"Drath","D B"
988,"Karnovsky","M L"
989,"Karnovsky","M J"
990,"Brandt","E J"
991,"Elliott","R W"
992,"Swank","R T"
993,"Soslau","G"
994,"Nass","M M"
995,"Harper","R A"
996,"Flaxman","B A"
997,"Thompson","E B"
998,"Anderson","C U"
999,"Lippman","M E"
1000,"Fodge","D W"
1001,"Rubin","H"
1002,"Mürer","E H"
1003,"Levin","J"
1004,"Holme","R"
1005,"Devine","J E"
1006,"Toom","P M"
1007,"Cooper","R D"
1008,"Davis","J B"
1009,"Leftwick","A P"
1010,"Price","C"
1011,"Weedon","B C"
1012,"Yoshida","A"
1013,"Walle","T"
1014,"Morrison","J"
1015,"Walle","K"
1016,"Conradi","E"
1017,"Smith","R N"
1018,"Houpert","Y"
1019,"Tarallo","P"
1020,"Siest","G"
1021,"Bye","A"
1022,"Land","G"
1023,"Dilworth","J A"
1024,"Stewart","P"
1025,"Gwaltney","J M"
1026,"Hendley","J O"
1027,"Sande","M A"
1028,"Guynn","R W"
1029,"Pieklik","J R"
1030,"Bennett","R M"
1031,"Lehr","J R"
1032,"McCarty","D J"
1033,"Siegel","S"
1034,"Brown","P J"
1035,"Forrest","W H"
1036,"Brown","C R"
1037,"Sundararajan","N R"
1038,"Whitney","R M"
1039,"Lick","J R"
1040,"Unger","T E"
1041,"Bechtel","J E"
1042,"McNamara","J R"
1043,"Herbison","R J"
1044,"Handelman","S L"
1045,"Mulrennan","J A"
1046,"Lamdin","J M"
1047,"Bolton","H T"
1048,"Hammond","C L"
1049,"Crisp","S"
1050,"Lewis","B G"
1051,"Wilson","A D"
1052,"Mulla","M S"
1053,"Darwazeh","H A"
1054,"Hill","J E"
1055,"Krieger","R I"
1056,"Jones","L A"
1057,"Foote","R S"
1058,"Yasui","T"
1059,"Sumita","T"
1060,"Tsunogae","S"
1061,"Simplicio","J"
1062,"Schwenzer","K"
1063,"Maenpa","F"
1064,"Miller","R E"
1065,"de Fremery","D"
1066,"Bickoff","E M"
1067,"Kohler","G O"
1068,"Melnick","A"
1069,"Levyn","M E"
1070,"Mogul","H N"
1071,"Berger","R"
1072,"Destailleur","G"
1073,"Vernaillen","P"
1074,"Pluygers","E"
1075,"Goeckermann","J A"
1076,"Vigil","E L"
1077,"Nayar","J K"
1078,"Sauerman","D M"
1079,"Hirata","M"
1080,"Nasu","M"
1081,"Yokoyama","Y"
1082,"Kono","T"
1083,"Aoki","M"
1084,"Borgström","B"
1085,"Archer","D W"
1086,"Sutherland","R L"
1087,"Brandon","M R"
1088,"Simpson-Morgan","M W"
1089,"Robertson","H A"
1090,"Dawn","I D"
1091,"Clark","R A"
1092,"Gallin","J I"
1093,"Kaplan","A P"
1094,"Diamond","J M"
1095,"Goldsmith","T H"
1096,"Ho","J J"
1097,"Meizel","S"
1098,"Cheng","J T"
1099,"Chang","T T"
1100,"Chen","K P"
1101,"Tsai","L H"
1102,"Liu","H J"
1103,"Yang","C P"
1104,"Chang","C"
1105,"Huang","P J"
1106,"Chu","S H"
1107,"Chen","C M"
1108,"Gunn","R B"
1109,"Wieth","J O"
1110,"Tosteson","D C"
1111,"Ritchie","A K"
1112,"Fambrough","D M"
1113,"Sréter","F A"
1114,"Luff","A R"
1115,"Gergely","J"
1116,"Peberdy","J F"
1117,"Moore","P M"
1118,"Housset","P"
1119,"Nagy","M"
1120,"Schwencke","J"
1121,"Putrament","A"
1122,"Branowska","H"
1123,"Ejchart","A"
1124,"Prazmo","W"
1125,"Bascomb","S"
1126,"Banks","G T"
1127,"Skarstedt","M T"
1128,"Fleming","A"
1129,"Bettelheim","K A"
1130,"Nakamura","H"
1131,"Suganuma","A"
1132,"Greenberg","J"
1133,"Ferenci","T"
1134,"Strom","T"
1135,"Quayle","J R"
1136,"Cavior","N"
1137,"Deutsch","A M"
1138,"Noguchi","T"
1139,"Nakatani","M"
1140,"Minatogawa","Y"
1141,"Okuno","E"
1142,"Kido","R"
1143,"Pullarkat","R K"
1144,"Reha","H"
1145,"Ledig","M"
1146,"Ciesielski-Treska","J"
1147,"Cam","Y"
1148,"Montagnon","D"
1149,"Mandel","P"
1150,"White","R P"
1151,"Hagen","A"
1152,"Robertson","J T"
1153,"Goloskov","J W"
